,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Concatination Values,,,,,,,,,,,,,,,,,,,,,,Storage Provisioning,,,,Host side storage provisioning,,,,,,,,,,,,,,Remove storage from host and then storage cleanup,,,,,,,GenIO Concatination,,,,,,,,,Copy to Cloud,,
Server Name,,Application,,,4,,,,,,1.5,2,,,,,,,,,,,,,,,,,,,,,,,mkdir /epic,chmod 755 /epic,chown root:root /epic,,,,,,,,,,,,,,,,,,,,,
prefix1,prefix2,prefix3,prefix4,prefix5,,Server,igroup,SVM,aggr,volume,vol-size,max,mode,autodelete,lun,ID,lun-size,Space Guarantee,OS,reserve,snap policy,Create Volume,Volume snapshot autodelete,LUN create,LUN map,Disk,pvcreate,vg name,,vgcreate,LV name,Strip,lvcreate,Make file system,Make folders,Permission,,Add mount to fstab,Mount,Kill any sessions,Unmount,Delete Logical Volume,Delete Volume Group,Delete Physical Volume,offline volume,delete volume,Upload and extract GenIO,Run dgen,min,max,#runs,time,server,Run GenIO,,,,
adc,epic,prod,db,1,1,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,prod_n1,adc_epic_prod_db_1,36864,49152,grow,true,adc_epic_prod_db_1,1,6144,none,aix,disabled,none,volume create -vserver adc_svm_prod_fcp -aggregate prod_n1 -volume adc_epic_prod_db_1 -size 36864g -state online -space-guarantee none -snapshot-policy none -max-autosize 49152g -autosize-mode grow,volume snapshot autodelete modify -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1 -enable true,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_1 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_1 -igroup adc-esx-epic-prod -lun-id 1,sdb,pvcreate /dev/sdb,prdvg,b-i,vgcreate -s 16M prdvg /dev/sd[b-i],prod01,4,lvcreate -n prod01 -l 100%FREE -i 4 -I 16M prdvg,mkfs.xfs -K /dev/prdvg/prod01,mkdir /epic/prod01,chmod 755 /epic/prod01,chown root:root /epic/prod01,/dev/mapper/prdvg-prod01 /epic/prod01 xfs defaults 0 0,mount -a,fuser -kcu /epic/prod01,umount /epic/prod01,lvremove /dev/prdvg/prod01,vgremove prdvg,pvremove /dev/sdb,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,vi /etc/fstabs,Before runing dgen vi dgen.pl and change line from -> to,10000,100000,10,15,adc_epic_prod,./RampRun.pl --miniops 10000 --maxiops 100000 --background --disable-warmup --runtime 15 --wijfile /epic/jrn/GENIO.WIJ --numruns 10 --system adc_epic_prod --comment 3Run 10000 100000,"./vacuum.pl --directory ""/prod0"" --speedlimit 100",snapmirror create -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst
adc,epic,prod,db,2,1,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_2,2,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_2 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_2 -igroup adc-esx-epic-prod -lun-id 2,sdc,pvcreate /dev/sdc,,,,,,,,,,,,,,,,,pvremove /dev/sdc,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,scp GenerateIO.1.9.2.tar.zg root@10.193.67.121:~,if ($mountpoint =~ /($baseDir)[0-9]/){,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst
adc,epic,prod,db,3,1,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_3,3,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_3 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_3 -igroup adc-esx-epic-prod -lun-id 3,sdd,pvcreate /dev/sdd,,,,,,,,,,,,,,,,,pvremove /dev/sdd,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,scp GenerateIO.1.9.2.tar.zg root@10.193.67.121:~,if ($mountpoint =~ /($baseDir)/){,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst
adc,epic,prod,db,4,1,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_1,,,grow,true,adc_epic_prod_db_4,4,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_4 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_1/adc_epic_prod_db_4 -igroup adc-esx-epic-prod -lun-id 4,sde,pvcreate /dev/sde,,,,,,,,,,,,,,,,,pvremove /dev/sde,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_1,tar zxvf GenerateIO-1.10.2.tar.gz,,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_1 -destination-path sgws:/objstore/adc_epic_prod_db_1-c2c_dst
adc,epic,prod,db,5,5,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,prod_n2,adc_epic_prod_db_5,36864,49152,grow,true,adc_epic_prod_db_5,5,6144,none,aix,disabled,none,volume create -vserver adc_svm_prod_fcp -aggregate prod_n2 -volume adc_epic_prod_db_5 -size 36864g -state online -space-guarantee none -snapshot-policy none -max-autosize 49152g -autosize-mode grow,volume snapshot autodelete modify -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5 -enable true,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_5 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_5 -igroup adc-esx-epic-prod -lun-id 5,sdf,pvcreate /dev/sdf,,,,,,,,,,,,,,,,,pvremove /dev/sdf,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,vi dgen.pl,"./dgen.pl --directory ""/epic/prod01"" --jobs 2 --background",,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst
adc,epic,prod,db,6,5,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_5,,,grow,true,adc_epic_prod_db_6,6,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_6 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_6 -igroup adc-esx-epic-prod -lun-id 6,sdg,pvcreate /dev/sdg,,,,,,,,,,,,,,,,,pvremove /dev/sdg,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,remove the [0-9],,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst
adc,epic,prod,db,7,5,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_5,,,grow,true,adc_epic_prod_db_7,7,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_7 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_7 -igroup adc-esx-epic-prod -lun-id 7,sdh,pvcreate /dev/sdh,,,,,,,,,,,,,,,,,pvremove /dev/sdh,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,yum install ksh,,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst
adc,epic,prod,db,8,5,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_5,,,grow,true,adc_epic_prod_db_8,8,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_8 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_5/adc_epic_prod_db_8 -igroup adc-esx-epic-prod -lun-id 8,sdi,pvcreate /dev/sdi,,,,,,,,,,,,,,,,,pvremove /dev/sdi,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_5,mv file file2,,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_5 -destination-path sgws:/objstore/adc_epic_prod_db_5-c2c_dst
adc,epic,prod,db,9,9,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,prod_n1,adc_epic_prod_db_9,36864,49152,grow,true,adc_epic_prod_db_9,9,6144,none,aix,disabled,none,volume create -vserver adc_svm_prod_fcp -aggregate prod_n1 -volume adc_epic_prod_db_9 -size 36864g -state online -space-guarantee none -snapshot-policy none -max-autosize 49152g -autosize-mode grow,volume snapshot autodelete modify -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_9 -enable true,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_9/adc_epic_prod_db_9 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_9/adc_epic_prod_db_9 -igroup adc-esx-epic-prod -lun-id 9,sdb,pvcreate /dev/sdb,,,,,,,,,,,,,,,,,pvremove /dev/sdb,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_9,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_9,vi /etc/fstabs,Before runing dgen vi dgen.pl and change line from -> to,10000,100000,10,15,adc_epic_prod,./RampRun.pl --miniops 10000 --maxiops 100000 --background --disable-warmup --runtime 15 --wijfile /epic/jrn/GENIO.WIJ --numruns 10 --system adc_epic_prod --comment 3Run 10000 100000,"./vacuum.pl --directory ""/prod0"" --speedlimit 100",snapmirror create -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst
adc,epic,prod,db,10,9,adc_epic_prod,adc-esx-epic-prod,adc_svm_prod_fcp,,adc_epic_prod_db_9,,,grow,true,adc_epic_prod_db_10,10,6144,none,aix,disabled,none,,,lun create -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_9/adc_epic_prod_db_10 -size 6144g -ostype aix -space-reserve disabled,lun map -vserver adc_svm_prod_fcp -path /vol/adc_epic_prod_db_9/adc_epic_prod_db_10 -igroup adc-esx-epic-prod -lun-id 10,sdc,pvcreate /dev/sdc,,,,,,,,,,,,,,,,,pvremove /dev/sdc,volume offline -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_9,volume delete -vserver adc_svm_prod_fcp -volume adc_epic_prod_db_9,scp GenerateIO.1.9.2.tar.zg root@10.193.67.121:~,if ($mountpoint =~ /($baseDir)[0-9]/){,,,,,,,,snapmirror create -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst,snapmirror initialize -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst,snapmirror update -source-path epic_fcp:adc_epic_prod_db_9 -destination-path sgws:/objstore/adc_epic_prod_db_9-c2c_dst
